TICKET_IDENTIFIER|SUPPORT_CATEGORY|AGENT_NAME|DATE_OF_CALL|CALL_STATUS|CALL_TYPE|TYPE_OF_CUSTOMER|DURATION|WORK_TIME|TICKET_STATUS|RESOLVED_IN_FIRST_CONTACT|RESOLUTION_CATEGORY|RATING
61|BUSINESS SERVICES|XGONZALEZ|09112024110958|COMPLETED|CHAT|BUDGET-CONSCIOUS CUSTOMER|86|565|WORK IN PROGRESS|0|SELF-HELP OPTION|GOOD
62|SUPPORT OUTAGES|ZANDERSON|06042024110958|DROPPED|CHAT|BUSINESS OWNER|305|444|RESOLVED|1|SELF-HELP OPTION|WORST
63|ACCOUNT MANAGEMENT|YWILSON|04172024110958|COMPLETED|CHAT|FAMILY PLAN MANAGER|209|198|TRANSFERRED TO ANOTHER QUEUE|1|SUPPORT TEAM INTERVENTION|WORST
64|BUSINESS SERVICES|VHERNANDEZ|07092022110958|COMPLETED|CHAT|FREQUENT TRAVELER|157|183|PENDING RESOLUTION|0|SELF-HELP OPTION|WORST
65|LOYALTY & RETENTIONS|WLOPEZ|12242023110958|TRANSFERRED|CALL|BUSINESS OWNER|343|268|PENDING RESOLUTION|0|SUPPORT TEAM INTERVENTION|BEST
39|NEW CUSTOMER ONBOARDING|ATHOMAS|08132023110958|COMPLETED|CALL|SENIOR CITIZEN|564|402|PENDING RESOLUTION|0|SUPPORT TEAM INTERVENTION|GOOD
66|PROMOTIONS & DISCOUNTS|VHERNANDEZ|12152022110958|COMPLETED|CALL|BUDGET-CONSCIOUS CUSTOMER|158|471|PENDING CUSTOMER UPDATE|1|SELF-HELP OPTION|WORST
67|NEW CUSTOMER ONBOARDING|WLOPEZ|06122022110958|DROPPED|CHAT|FAMILY PLAN MANAGER|229|156|PENDING CUSTOMER UPDATE|1|SUPPORT TEAM INTERVENTION|GOOD
68|SECURITY & PRIVACY|XGONZALEZ|04242023110958|DROPPED|CHAT|BUDGET-CONSCIOUS CUSTOMER|32|453|PENDING CUSTOMER UPDATE|0|SELF-HELP OPTION|WORST
69|NEW CUSTOMER ONBOARDING|EJONES|11032022110958|DROPPED|CHAT|BUDGET-CONSCIOUS CUSTOMER|541|557|RESOLVED|0|SUPPORT TEAM INTERVENTION|GOOD
70|SECURITY & PRIVACY|UMARTINEZ|05032022110958|DROPPED|CALL|SENIOR CITIZEN|201|115|TRANSFERRED TO ANOTHER QUEUE|1|SUPPORT TEAM INTERVENTION|NEUTRAL
71|NEW CUSTOMER ONBOARDING|UMARTINEZ|01052022110958|COMPLETED|CALL|TECH-SAVVY USER|233|257|PENDING RESOLUTION|1|SELF-HELP OPTION|BAD
21|HOME SERVICES|EJONES|01192022110958|COMPLETED|CALL|FREQUENT TRAVELER|366|171|PENDING RESOLUTION|0|SELF-HELP OPTION|BEST
72|ACCOUNT MANAGEMENT|STHOMPSON|06092024110958|DROPPED|CALL|DEVICE ENTHUSIAST|426|179|PENDING CUSTOMER UPDATE|0|SUPPORT TEAM INTERVENTION|WORST
44|PROMOTIONS & DISCOUNTS|STHOMPSON|01132022110958|DROPPED|CHAT|DEVICE ENTHUSIAST|508|31|TRANSFERRED TO ANOTHER QUEUE|1|SELF-HELP OPTION|BAD
73|PROMOTIONS & DISCOUNTS|TGARCIA|07022024110958|DROPPED|CALL|TECH-SAVVY USER|83|227|PENDING RESOLUTION|0|SUPPORT TEAM INTERVENTION|BAD
74|SECURITY & PRIVACY|UMARTINEZ|07152024110958|DROPPED|CALL|LONG-TERM CUSTOMER|409|311|PENDING RESOLUTION|0|SELF-HELP OPTION|
75|SECURITY & PRIVACY|UMARTINEZ|01262023110958|DROPPED|CHAT|FAMILY PLAN MANAGER|132|372|WORK IN PROGRESS|1|SUPPORT TEAM INTERVENTION|BEST
21|SECURITY & PRIVACY|TGARCIA|06162022110958|TRANSFERRED|CALL|HEAVY DATA USER|367|235|RESOLVED|1|SUPPORT TEAM INTERVENTION|WORST
76|HOME SERVICES|VHERNANDEZ|03282024110958|DROPPED|CHAT|DEVICE ENTHUSIAST|104|555|PENDING RESOLUTION|0||GOOD
20|NEW CUSTOMER ONBOARDING|XGONZALEZ|04302024110958|DROPPED|CALL|BUSINESS OWNER|409|593|RESOLVED|1|SELF-HELP OPTION|GOOD
77|ACCOUNT MANAGEMENT|WLOPEZ|06192024110958|DROPPED|CHAT|SENIOR CITIZEN|427|193|RESOLVED|0|SELF-HELP OPTION|BAD
34|SECURITY & PRIVACY|ZANDERSON|04172023110958|TRANSFERRED|CALL|DEVICE ENTHUSIAST|398|346|RESOLVED|1|SELF-HELP OPTION|WORST
78|TECHNICAL SUPPORT|XGONZALEZ|10182023110958|TRANSFERRED|CALL|DEVICE ENTHUSIAST|416|395|TRANSFERRED TO ANOTHER QUEUE|1|SELF-HELP OPTION|BAD
71|HOME SERVICES|VHERNANDEZ|07132024110958|TRANSFERRED|CHAT|NEW CUSTOMER|349|422|TRANSFERRED TO ANOTHER QUEUE|1|SELF-HELP OPTION|GOOD
79|BUSINESS SERVICES|STHOMPSON|09232022110958|DROPPED|CALL|SENIOR CITIZEN|476|209|PENDING RESOLUTION|0|SELF-HELP OPTION|GOOD
80|HOME SERVICES|VHERNANDEZ|05242023110958|COMPLETED|CHAT|TECH-SAVVY USER|193|47|WORK IN PROGRESS|0|SELF-HELP OPTION|GOOD
81|NEW CUSTOMER ONBOARDING|WLOPEZ|06222022110958|TRANSFERRED|CHAT|FREQUENT TRAVELER|492|66|WORK IN PROGRESS|0|SELF-HELP OPTION|BAD
82|MOBILE & WIRELESS SERVICES|STHOMPSON|06032023110958|COMPLETED|CALL|NEW CUSTOMER|495|567|WORK IN PROGRESS|1|SELF-HELP OPTION|BEST
52|SUPPORT OUTAGES|STHOMPSON|07182022110958|DROPPED|CHAT|FREQUENT TRAVELER|414|283|RESOLVED|1|SELF-HELP OPTION|BAD
83|SECURITY & PRIVACY|XGONZALEZ|05022022110958|DROPPED|CALL|DEVICE ENTHUSIAST|545|491|PENDING RESOLUTION|1|SUPPORT TEAM INTERVENTION|GOOD
84|BUSINESS SERVICES|ZANDERSON|04192024110958|DROPPED|CHAT|HEAVY DATA USER|552|70|TRANSFERRED TO ANOTHER QUEUE|0|SUPPORT TEAM INTERVENTION|BAD
85|HOME SERVICES|WLOPEZ|08202024110958|TRANSFERRED|CALL|TECH-SAVVY USER|286|139|PENDING CUSTOMER UPDATE|0|SUPPORT TEAM INTERVENTION|BEST
14|PROMOTIONS & DISCOUNTS|TGARCIA|03162024110958|DROPPED|CHAT|FREQUENT TRAVELER|318|329|RESOLVED|1|SELF-HELP OPTION|GOOD
86|PROMOTIONS & DISCOUNTS|EJONES|01182023110958|DROPPED|CALL|NEW CUSTOMER|167|509|PENDING RESOLUTION|1|SUPPORT TEAM INTERVENTION|WORST
70|SECURITY & PRIVACY|UMARTINEZ|03012022110958|TRANSFERRED|CALL|BUDGET-CONSCIOUS CUSTOMER|422|227|WORK IN PROGRESS|0|SELF-HELP OPTION|GOOD
87|HOME SERVICES|ATHOMAS|03222022110958|TRANSFERRED|CALL|FAMILY PLAN MANAGER|314|488|PENDING CUSTOMER UPDATE|1|SUPPORT TEAM INTERVENTION|BEST
88|ACCOUNT MANAGEMENT|ZANDERSON|03012022110958|DROPPED|CALL|NEW CUSTOMER|440|502|PENDING CUSTOMER UPDATE|1|SELF-HELP OPTION|
89|LOYALTY & RETENTIONS|VHERNANDEZ|11082023110958|DROPPED|CHAT|HEAVY DATA USER|510|313|TRANSFERRED TO ANOTHER QUEUE|1|SUPPORT TEAM INTERVENTION|NEUTRAL
38|LOYALTY & RETENTIONS|UMARTINEZ|03292022110958|COMPLETED|CHAT|FAMILY PLAN MANAGER|153|125|PENDING RESOLUTION|0|SELF-HELP OPTION|BAD
90|SECURITY & PRIVACY|EJONES|10282023110958|TRANSFERRED|CALL|FREQUENT TRAVELER|449|502|PENDING CUSTOMER UPDATE|1||GOOD
91|MOBILE & WIRELESS SERVICES|EJONES|06292023110958|DROPPED|CALL|FREQUENT TRAVELER|591|295|WORK IN PROGRESS|1|SELF-HELP OPTION|NEUTRAL
92|ACCOUNT MANAGEMENT|WLOPEZ|06172024110958|DROPPED|CHAT|LONG-TERM CUSTOMER|496|280|RESOLVED|1|SUPPORT TEAM INTERVENTION|GOOD
93|SUPPORT OUTAGES|ATHOMAS|02132023110958|COMPLETED|CHAT|FREQUENT TRAVELER|182|389|WORK IN PROGRESS|0|SELF-HELP OPTION|BEST
94|SECURITY & PRIVACY|STHOMPSON|03202024110958|TRANSFERRED|CALL|DEVICE ENTHUSIAST|96|115|PENDING CUSTOMER UPDATE|1|SELF-HELP OPTION|GOOD
95|TECHNICAL SUPPORT|VHERNANDEZ|05292023110958|TRANSFERRED|CALL|LONG-TERM CUSTOMER|74|23|TRANSFERRED TO ANOTHER QUEUE|0|SUPPORT TEAM INTERVENTION|BEST
96|SUPPORT OUTAGES|WLOPEZ|05052022110958|COMPLETED|CALL|BUDGET-CONSCIOUS CUSTOMER|391|299|PENDING CUSTOMER UPDATE|1|SUPPORT TEAM INTERVENTION|BAD
74|ACCOUNT MANAGEMENT|YWILSON|07222024110958|TRANSFERRED|CHAT|DEVICE ENTHUSIAST|417|555|WORK IN PROGRESS|0|SELF-HELP OPTION|BAD
97|LOYALTY & RETENTIONS|YWILSON|01262024110958|TRANSFERRED|CALL|TECH-SAVVY USER|559|364|PENDING RESOLUTION|1|SELF-HELP OPTION|NEUTRAL
98|SUPPORT OUTAGES|ATHOMAS|02202023110958|TRANSFERRED|CALL|BUSINESS OWNER|164|19|PENDING CUSTOMER UPDATE|0|SELF-HELP OPTION|NEUTRAL
99|LOYALTY & RETENTIONS|XGONZALEZ|04152022110958|COMPLETED|CALL|FREQUENT TRAVELER|320|437|PENDING RESOLUTION|1|SELF-HELP OPTION|GOOD
100|HOME SERVICES|WLOPEZ|04012023110958|TRANSFERRED|CALL|BUSINESS OWNER|131|263|TRANSFERRED TO ANOTHER QUEUE|1|SUPPORT TEAM INTERVENTION|BAD
101|LOYALTY & RETENTIONS|TGARCIA|11202023110958|TRANSFERRED|CHAT|SENIOR CITIZEN|77|183|PENDING RESOLUTION|1|SUPPORT TEAM INTERVENTION|BEST
102||UMARTINEZ|04072023110958|TRANSFERRED|CALL|BUSINESS OWNER|384|122|RESOLVED|0|SELF-HELP OPTION|GOOD
103|ACCOUNT MANAGEMENT|TGARCIA|07302024110958|DROPPED|CHAT|SENIOR CITIZEN|135|532|TRANSFERRED TO ANOTHER QUEUE|1|SUPPORT TEAM INTERVENTION|NEUTRAL
104|LOYALTY & RETENTIONS|ZANDERSON|07302022110958|DROPPED|CHAT|TECH-SAVVY USER|476|368|WORK IN PROGRESS|1|SELF-HELP OPTION|NEUTRAL
105|SECURITY & PRIVACY|ATHOMAS|05242023110958|DROPPED|CHAT|NEW CUSTOMER|212|103|WORK IN PROGRESS|1|SUPPORT TEAM INTERVENTION|BAD
106|LOYALTY & RETENTIONS|VHERNANDEZ|11142022110958|TRANSFERRED|CALL|BUSINESS OWNER|487|257|TRANSFERRED TO ANOTHER QUEUE|0|SELF-HELP OPTION|NEUTRAL
107|LOYALTY & RETENTIONS|XGONZALEZ|03212022110958|COMPLETED|CHAT|FREQUENT TRAVELER|315|109|TRANSFERRED TO ANOTHER QUEUE|0|SELF-HELP OPTION|NEUTRAL
31|MOBILE & WIRELESS SERVICES|YWILSON|12252022110958|TRANSFERRED|CALL|FAMILY PLAN MANAGER|457|42|PENDING RESOLUTION|0|SELF-HELP OPTION|BAD
108|LOYALTY & RETENTIONS|XGONZALEZ|10212023110958|COMPLETED|CALL|BUDGET-CONSCIOUS CUSTOMER|437|59|PENDING RESOLUTION|0|SUPPORT TEAM INTERVENTION|GOOD
64|TECHNICAL SUPPORT|VHERNANDEZ|09022023110958|TRANSFERRED|CALL|BUSINESS OWNER|169|280|TRANSFERRED TO ANOTHER QUEUE|0|SELF-HELP OPTION|GOOD
109|MOBILE & WIRELESS SERVICES|TGARCIA|01012023110958|TRANSFERRED||LONG-TERM CUSTOMER|12|416|WORK IN PROGRESS|1|SUPPORT TEAM INTERVENTION|NEUTRAL
86|ACCOUNT MANAGEMENT|EJONES|07032024110958|DROPPED|CALL|FAMILY PLAN MANAGER|535|188|PENDING CUSTOMER UPDATE|0|SUPPORT TEAM INTERVENTION|GOOD
110|TECHNICAL SUPPORT|EJONES|04242022110958|COMPLETED|CALL|FAMILY PLAN MANAGER|552|351|PENDING RESOLUTION|0|SUPPORT TEAM INTERVENTION|BEST
111|TECHNICAL SUPPORT|ZANDERSON|10292023110958|COMPLETED|CHAT|TECH-SAVVY USER|118|194|PENDING RESOLUTION|0|SELF-HELP OPTION|BEST
112|LOYALTY & RETENTIONS|TGARCIA|05012024110958|TRANSFERRED|CHAT|TECH-SAVVY USER|430|91|PENDING CUSTOMER UPDATE|0|SELF-HELP OPTION|BAD
101|NEW CUSTOMER ONBOARDING|ZANDERSON|02202023110958|COMPLETED|CHAT|FAMILY PLAN MANAGER|68|207|RESOLVED|0|SUPPORT TEAM INTERVENTION|WORST
113|MOBILE & WIRELESS SERVICES|STHOMPSON|06072024110958|TRANSFERRED|CALL|BUSINESS OWNER|56|251|WORK IN PROGRESS|0|SELF-HELP OPTION|NEUTRAL
10|HOME SERVICES|EJONES|01112024110958|DROPPED|CALL|SENIOR CITIZEN|523|17|WORK IN PROGRESS|0|SELF-HELP OPTION|GOOD
114|SECURITY & PRIVACY|ZANDERSON|04292023110958|DROPPED|CHAT|BUSINESS OWNER|544|555|PENDING RESOLUTION|0|SUPPORT TEAM INTERVENTION|GOOD
100|LOYALTY & RETENTIONS|XGONZALEZ|03162024110958|COMPLETED|CALL|TECH-SAVVY USER|561|225|PENDING CUSTOMER UPDATE|0|SELF-HELP OPTION|BEST
115|HOME SERVICES|UMARTINEZ|08262023110958|COMPLETED|CALL|FREQUENT TRAVELER|296|495|RESOLVED|0|SELF-HELP OPTION|BAD
116|ACCOUNT MANAGEMENT|XGONZALEZ|03172023110958|COMPLETED|CHAT|DEVICE ENTHUSIAST|528|288|TRANSFERRED TO ANOTHER QUEUE|1|SUPPORT TEAM INTERVENTION|BAD
117|ACCOUNT MANAGEMENT|VHERNANDEZ|05302024110958|COMPLETED|CALL|DEVICE ENTHUSIAST|405|21|TRANSFERRED TO ANOTHER QUEUE|0|SELF-HELP OPTION|GOOD
